"date" "NA" "NA.1" "NA.2" "NA.3" "NA.4" "NA.5" "NA.6" "NA.7" "NA.8" "NA.9" "NA.10" "NA.11" "NA.12" "NA.13" "NA.14" "NA.15" "NA.16" "NA.17" "NA.18" "date2" "year"
"48" "1109" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1109" 1175
"49" "1111" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1111" 1191.66666666667
"50" "1201" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1201" 1208.33333333333
"51" "1203" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1203" 1225
"52" "1205" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1205" 1241.66666666667
"53" "1207" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1207" 1258.33333333333
"54" "1208" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1208" 1266.66666666667
"55" "1209" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1209" 1275
"56" "1210" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1210" 1283.33333333333
"57" "1211" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1211" 1291.66666666667
"58" "1212" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1212" 1300
"59" "1301" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1301" 1308.33333333333
"60" "1302" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1302" 1316.66666666667
"61" "1303" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1303" 1325
"62" "1304" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1304" 1333.33333333333
"63" "1305" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1305" 1341.66666666667
"64" "1306" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1306" 1350
"65" "1307" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1307" 1358.33333333333
"66" "1308" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1308" 1366.66666666667
"67" "1309" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1309" 1375
"68" "1310" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1310" 1383.33333333333
"69" "1311" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1311" 1391.66666666667
"70" "1312" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1312" 1400
"71" "1401" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1401" 1408.33333333333
"72" "1402" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "1402" 1416.66666666667
